PetID,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,AdoptionLikelihood
2473,Dog,Labrador,177,Black,Large,13.90809324782183,0,0,12,30,0,1
1048,Dog,Labrador,31,Gray,Large,27.7718926408712,1,0,62,254,0,1
1927,Rabbit,Rabbit,159,White,Large,11.109471613842524,1,1,75,446,0,0
1956,Cat,Persian,107,Black,Large,6.596536230231829,0,1,82,55,1,0
1928,Bird,Parakeet,34,Orange,Medium,21.932212224945825,1,0,89,72,0,1
1825,Dog,Labrador,114,Black,Medium,27.902561703486057,1,0,24,459,0,1
2030,Bird,Parakeet,70,Black,Medium,21.108075117830808,1,0,72,178,0,1
2111,Dog,Labrador,156,Gray,Medium,21.494838734292244,1,0,69,126,0,1
1701,Rabbit,Rabbit,162,Brown,Large,15.487427437902053,0,0,15,105,0,0
1651,Rabbit,Rabbit,65,White,Medium,20.963637430571342,0,0,88,165,1,0
1271,Cat,Persian,175,Black,Large,13.082445084998763,0,1,80,236,0,0
1617,Bird,Parakeet,48,Brown,Medium,17.561701710600925,1,0,21,388,1,1
2402,Bird,Parakeet,162,Orange,Medium,12.665968255511572,0,0,82,208,0,1
645,Rabbit,Rabbit,92,Brown,Small,7.79673262965839,1,1,83,246,0,0
719,Rabbit,Rabbit,164,Orange,Large,15.724812404017266,1,0,28,305,0,0
2483,Dog,Labrador,123,Orange,Medium,27.227052905300177,1,0,38,446,0,0
2387,Rabbit,Rabbit,179,Gray,Small,27.47083417620924,1,0,6,198,1,1
1911,Dog,Poodle,160,White,Large,13.253642026491791,0,0,19,436,1,0
2305,Dog,Golden Retriever,179,Black,Medium,23.84999721469524,1,0,3,70,0,1
1348,Cat,Siamese,168,Orange,Large,6.210052009268534,1,1,3,33,0,0
1846,Rabbit,Rabbit,164,Black,Small,14.920536785494006,1,0,44,181,0,0
2504,Rabbit,Rabbit,113,Orange,Small,1.7585919273791757,1,0,68,302,0,0
2366,Bird,Parakeet,166,Brown,Medium,13.668941060156673,0,0,75,132,1,0
724,Rabbit,Rabbit,26,White,Large,1.45518126229211,0,0,9,449,1,0
1326,Rabbit,Rabbit,39,White,Small,25.99452960242946,1,0,78,57,1,0
2470,Rabbit,Rabbit,83,Gray,Large,10.399920041151091,1,0,39,234,0,0
679,Dog,Labrador,144,Orange,Medium,14.668332029046985,1,0,1,27,0,1
804,Dog,Labrador,68,White,Large,2.4747492854388127,0,0,22,467,0,0
1236,Rabbit,Rabbit,46,Gray,Medium,18.691257018274797,1,0,38,356,0,1
1739,Dog,Labrador,8,Black,Large,19.442247725501577,1,0,27,16,0,1
2289,Cat,Siamese,148,White,Small,13.92758367922464,0,0,3,466,0,0
1339,Rabbit,Rabbit,100,Orange,Small,17.81435500983709,1,1,27,120,0,0
1177,Cat,Siamese,66,Brown,Small,12.805226601990428,1,1,84,3,1,0
2375,Cat,Persian,38,Black,Medium,27.269655570865076,1,0,86,432,0,1
2443,Cat,Persian,63,Black,Large,2.295175274988064,0,0,49,332,0,1
2360,Dog,Labrador,101,Brown,Medium,16.688600830314428,1,1,57,357,0,1
544,Dog,Poodle,55,Brown,Large,19.64876881266086,1,0,48,409,0,0
1642,Rabbit,Rabbit,49,Black,Medium,6.545105014655512,1,1,58,203,1,0
920,Dog,Golden Retriever,12,White,Medium,21.01496104752563,1,0,6,334,0,1
1106,Rabbit,Rabbit,140,White,Small,20.02403928494017,1,1,51,300,0,0
2183,Dog,Golden Retriever,77,Brown,Large,22.923009619006194,1,1,73,140,1,0
1700,Bird,Parakeet,141,Gray,Large,26.071698905880424,0,0,49,301,0,0
1949,Cat,Persian,121,Orange,Medium,13.579569957807456,0,0,74,42,0,0
2146,Cat,Persian,52,Gray,Small,26.545561289467365,1,0,26,144,0,0
660,Bird,Parakeet,5,White,Large,4.192139045250658,0,0,25,43,1,0
997,Dog,Poodle,143,Black,Medium,20.87084215932612,0,0,54,80,1,0
1604,Rabbit,Rabbit,122,Gray,Small,10.796694256325358,0,0,22,380,1,0
647,Cat,Persian,31,Orange,Medium,4.587034667799061,1,0,21,359,0,1
505,Dog,Labrador,70,Brown,Large,20.986260902397984,0,0,87,301,1,0
531,Cat,Persian,30,Black,Large,21.69748150162451,1,1,65,132,0,0
1874,Dog,Labrador,162,Brown,Large,23.723932947543627,1,0,46,270,0,1
951,Dog,Labrador,71,Brown,Medium,6.496052253883927,1,0,30,156,0,1
1170,Dog,Poodle,155,Black,Small,16.930464590394436,1,0,70,413,0,0
1215,Cat,Persian,3,Brown,Large,16.171582023373496,1,0,56,265,0,1
1638,Cat,Siamese,163,Brown,Medium,29.064458685113493,1,0,43,86,0,1
2290,Rabbit,Rabbit,116,White,Medium,24.64528409181128,1,0,83,439,0,1
1399,Dog,Labrador,62,Gray,Medium,7.558396394261434,1,0,9,181,0,1
750,Rabbit,Rabbit,28,Orange,Small,21.0829063700746,1,0,79,310,0,0
565,Cat,Persian,149,Gray,Medium,13.977583801285736,1,1,31,391,1,0
2416,Cat,Persian,51,Orange,Small,7.503929129015253,1,0,18,27,1,1
2296,Rabbit,Rabbit,133,Orange,Medium,18.47742886739065,1,1,30,433,0,0
1217,Dog,Poodle,114,White,Large,2.259567359833486,1,0,20,235,1,0
613,Cat,Siamese,130,Orange,Small,7.103330493119494,1,0,69,171,1,0
524,Bird,Parakeet,70,Orange,Large,21.3395432490028,1,0,22,413,0,0
2083,Rabbit,Rabbit,175,White,Large,28.878704304649386,1,0,13,265,0,0
829,Cat,Persian,168,White,Medium,22.593312302929203,1,0,51,117,0,1
1644,Rabbit,Rabbit,38,White,Medium,15.095281756054971,0,0,17,145,0,0
838,Dog,Labrador,172,Gray,Medium,1.5137016676722814,1,0,38,348,0,1
852,Rabbit,Rabbit,149,Brown,Small,10.177182719470272,0,0,81,276,1,0
1133,Bird,Parakeet,2,Black,Small,12.319447598585086,1,0,15,283,0,1
985,Rabbit,Rabbit,63,Black,Medium,19.04890201272205,1,0,87,85,0,1
1428,Bird,Parakeet,15,Black,Large,20.121364231086478,0,0,14,488,1,0
1870,Cat,Siamese,66,Brown,Small,6.463165270711317,1,0,2,486,0,0
567,Cat,Persian,150,White,Small,1.4616877506211594,1,0,88,34,1,0
2062,Rabbit,Rabbit,111,White,Small,28.00161842473243,1,0,54,184,1,0
1760,Rabbit,Rabbit,169,White,Small,13.721856384094012,0,0,2,448,1,0
1176,Cat,Persian,113,Orange,Large,8.42030368355417,1,0,76,496,1,0
1569,Cat,Siamese,84,Orange,Medium,24.454996222588125,1,0,68,378,0,1
1511,Dog,Labrador,147,Black,Small,19.636210121117017,0,0,59,394,1,0
1610,Cat,Siamese,172,Brown,Medium,1.5639414941668517,1,0,23,434,0,1
921,Dog,Poodle,14,Orange,Small,19.72228030974445,1,0,14,69,0,1
697,Dog,Golden Retriever,62,Black,Medium,20.30386451815283,0,0,75,63,0,0
605,Rabbit,Rabbit,7,Brown,Medium,16.305099894756978,1,0,75,303,1,1
1607,Rabbit,Rabbit,98,Black,Small,27.81033420044753,1,0,50,436,1,0
736,Rabbit,Rabbit,105,Orange,Medium,3.715353906675248,1,0,64,18,0,1
2413,Rabbit,Rabbit,101,White,Large,26.26667587283456,1,0,20,295,0,0
1822,Bird,Parakeet,47,Brown,Large,16.297382392189583,1,0,84,239,0,0
1300,Dog,Labrador,33,Gray,Small,18.452964110358387,1,0,79,80,1,1
823,Rabbit,Rabbit,32,Orange,Medium,13.888787772473464,1,0,51,285,0,1
665,Bird,Parakeet,126,Black,Large,22.098556389674137,1,0,21,90,1,0
578,Cat,Siamese,85,Brown,Medium,13.11863590191068,0,0,87,225,0,0
2477,Rabbit,Rabbit,80,White,Medium,26.77643284041742,1,0,4,152,1,1
585,Dog,Labrador,6,Gray,Small,17.858309572026545,1,0,43,173,0,1
1394,Bird,Parakeet,86,Black,Large,15.736895383974934,1,0,21,155,0,0
1605,Cat,Siamese,30,Gray,Small,12.254863324980558,1,0,38,76,0,0
809,Cat,Siamese,119,Orange,Large,20.455081723055272,0,1,64,320,1,0
1198,Cat,Persian,164,White,Small,17.231805641921092,0,0,80,407,0,0
957,Cat,Siamese,132,Gray,Large,24.12276736384892,0,0,64,490,1,0
821,Bird,Parakeet,144,Black,Medium,2.8108839742438,1,0,2,317,0,1
797,Rabbit,Rabbit,104,White,Small,29.731715472403348,1,0,41,431,0,0
2247,Rabbit,Rabbit,176,White,Medium,1.4597528158334423,0,0,66,124,0,0
952,Dog,Golden Retriever,4,White,Large,4.642852781530841,1,1,15,313,0,0
2202,Bird,Parakeet,55,Gray,Small,10.181343751906502,1,0,19,68,0,0
2121,Bird,Parakeet,56,White,Small,20.603782202933864,1,0,71,499,0,0
1478,Bird,Parakeet,141,Black,Medium,9.86380640824932,1,0,15,479,1,1
1071,Dog,Golden Retriever,84,Brown,Large,10.457075642525009,1,0,25,435,0,0
2010,Dog,Labrador,100,Brown,Small,9.945607164897904,1,0,18,355,0,1
1837,Dog,Golden Retriever,1,Orange,Medium,29.02054604546879,1,0,5,146,0,1
1061,Cat,Persian,120,White,Small,28.83372980669373,1,0,1,157,0,0
655,Bird,Parakeet,43,Brown,Medium,14.153611478840068,0,0,35,253,0,0
904,Rabbit,Rabbit,98,Orange,Medium,24.223277951377213,1,0,52,350,1,1
1802,Cat,Persian,69,Brown,Small,10.47641984649631,1,0,73,87,0,0
1049,Cat,Persian,84,Black,Large,6.992652361859454,0,1,35,462,0,0
1690,Cat,Siamese,59,Gray,Medium,7.938507019792453,0,0,52,317,1,0
1632,Bird,Parakeet,65,White,Medium,2.251938435025302,1,0,69,295,0,1
575,Dog,Poodle,114,Black,Small,23.131351674621275,0,1,12,407,0,0
1168,Rabbit,Rabbit,92,Brown,Medium,13.70523787996556,1,0,35,231,0,1
1794,Bird,Parakeet,81,Gray,Large,8.366899516170593,1,0,72,412,0,0
1344,Cat,Persian,78,Brown,Small,24.725020881330703,0,0,37,403,0,0
1479,Rabbit,Rabbit,49,Black,Large,18.19649832805553,1,1,71,436,0,0
2487,Bird,Parakeet,95,Black,Small,20.24156001275246,1,0,26,356,0,1
1683,Dog,Golden Retriever,35,Orange,Large,19.094825773528413,1,1,68,160,1,0
1353,Dog,Labrador,150,Gray,Large,15.751834569838293,1,0,24,426,1,1
1735,Cat,Persian,152,Black,Small,7.512224608797995,1,0,43,14,0,0
1896,Dog,Labrador,21,Orange,Medium,21.78483898726161,0,0,23,227,0,1
1427,Cat,Persian,47,White,Large,15.002788184505455,1,0,61,46,0,0
1963,Dog,Labrador,82,White,Large,17.074720469590623,1,1,1,242,1,0
2173,Bird,Parakeet,46,White,Medium,26.60066928916841,1,0,5,0,1,1
2359,Dog,Labrador,70,White,Small,28.64387818465575,1,0,9,200,0,0
1266,Dog,Golden Retriever,134,Brown,Medium,16.94085379604077,0,0,68,185,1,0
2266,Dog,Golden Retriever,67,Gray,Large,21.518527694617863,1,0,5,497,0,0
551,Rabbit,Rabbit,3,Black,Large,28.0981862884329,0,0,14,490,1,0
1889,Dog,Labrador,118,White,Large,19.727019475577872,0,1,83,349,0,0
877,Cat,Siamese,171,Orange,Small,27.10905494766024,0,0,4,437,1,0
888,Cat,Persian,111,White,Small,29.980752119521625,1,0,65,134,0,0
1959,Bird,Parakeet,155,Gray,Large,13.871823743076511,1,0,87,419,1,0
980,Dog,Labrador,176,Black,Large,8.319649733322386,0,0,8,258,1,0
2119,Bird,Parakeet,119,Gray,Medium,11.76207664188663,1,0,65,423,1,1
1738,Bird,Parakeet,85,Brown,Small,22.29498968051012,1,1,31,344,0,0
2251,Rabbit,Rabbit,155,Orange,Medium,9.104613795659809,1,1,34,225,1,0
1810,Rabbit,Rabbit,67,Black,Medium,4.575233896119971,1,0,45,178,0,1
1532,Dog,Golden Retriever,174,White,Large,5.629349946429764,0,0,57,32,0,0
984,Dog,Golden Retriever,146,Orange,Medium,29.984568931874826,1,0,72,171,1,1
1945,Dog,Poodle,169,Brown,Medium,15.375032336632705,1,0,20,80,0,1
1878,Dog,Golden Retriever,66,Orange,Small,5.136976192721701,1,0,14,405,0,0
1285,Rabbit,Rabbit,82,Gray,Large,13.582753406078904,1,1,6,449,1,0
562,Cat,Persian,65,Gray,Medium,27.608801943294,1,0,75,147,0,1
1026,Cat,Siamese,165,White,Medium,25.26516089816979,0,0,52,186,0,0
717,Bird,Parakeet,173,Black,Medium,10.618077481133508,1,0,38,213,0,1
820,Rabbit,Rabbit,95,White,Large,15.757672400053128,1,0,9,322,1,0
2171,Rabbit,Rabbit,86,Orange,Large,26.704690765770685,1,0,40,114,1,0
2034,Cat,Siamese,54,Black,Large,18.50398784208796,1,0,19,310,0,0
2102,Cat,Persian,75,Brown,Medium,9.4874719270233,1,0,24,76,1,1
1691,Dog,Golden Retriever,175,Gray,Large,9.135306833806627,1,0,67,185,1,0
815,Bird,Parakeet,91,Brown,Large,19.03616527894457,1,0,40,458,1,0
857,Rabbit,Rabbit,46,Brown,Large,3.446755996716646,1,0,89,168,0,0
824,Cat,Siamese,124,Brown,Large,5.106900104611899,0,0,31,478,1,0
659,Bird,Parakeet,31,Black,Small,6.860347146509103,1,0,69,422,0,0
2425,Dog,Golden Retriever,123,Brown,Large,12.129946421298571,1,0,77,28,0,1
547,Dog,Poodle,145,Brown,Large,8.720713543465497,1,0,9,31,0,0
1167,Dog,Labrador,116,Gray,Medium,22.555539781498226,1,0,86,196,0,1
2283,Dog,Labrador,68,Orange,Small,11.944241124268512,1,1,19,206,0,0
1265,Bird,Parakeet,178,Orange,Large,1.501353298137533,1,0,55,373,1,0
747,Bird,Parakeet,10,Brown,Small,23.87940859411288,0,1,8,149,0,0
624,Bird,Parakeet,65,Brown,Medium,9.00251601655844,1,0,6,365,0,1
1517,Dog,Golden Retriever,1,White,Large,4.841599666517787,1,0,14,77,0,1
933,Rabbit,Rabbit,125,White,Large,13.84557931169005,1,0,39,18,1,0
1533,Bird,Parakeet,87,Black,Small,26.99216501274985,0,1,31,436,0,0
2032,Dog,Golden Retriever,149,Black,Small,8.879518046768695,0,0,7,396,0,0
1182,Dog,Poodle,42,Black,Medium,3.624393021780136,1,0,29,64,0,1
1976,Rabbit,Rabbit,60,Gray,Medium,1.1578675665590266,0,0,9,54,0,0
1288,Bird,Parakeet,23,Orange,Large,22.02300472806896,1,0,13,365,1,1
2432,Rabbit,Rabbit,81,White,Medium,21.525735372511992,1,0,18,300,0,1
992,Cat,Persian,161,Gray,Large,15.475925164617191,1,0,53,8,0,0
1545,Cat,Persian,82,Black,Small,25.24076383566103,1,0,32,41,1,0
573,Cat,Siamese,36,White,Large,8.950757092496705,1,0,48,148,1,0
1903,Dog,Labrador,81,Brown,Small,22.21870836483697,1,1,35,100,0,0
2215,Cat,Siamese,107,Black,Small,16.15918966364878,0,0,10,129,0,0
873,Rabbit,Rabbit,151,Gray,Medium,3.737526801211916,0,0,16,176,0,0
993,Dog,Labrador,145,White,Large,18.417592246428296,1,0,87,114,0,1
1144,Dog,Poodle,167,Brown,Medium,8.493386788240732,1,0,16,241,0,1
1666,Rabbit,Rabbit,155,Gray,Medium,14.882349896510636,1,0,79,101,1,1
684,Cat,Siamese,40,Black,Small,3.762219085213215,1,0,54,50,0,0
947,Rabbit,Rabbit,173,White,Small,9.678204158544652,1,0,88,471,0,0
1836,Cat,Siamese,37,Black,Large,11.12252030938499,0,0,59,170,0,0
2317,Dog,Golden Retriever,133,Brown,Small,13.68307960054525,1,0,20,267,1,0
936,Cat,Persian,138,White,Small,13.865726715158598,1,1,74,77,0,0
2452,Rabbit,Rabbit,100,Orange,Small,20.712048084050988,1,1,13,60,0,0
1363,Cat,Siamese,71,Black,Medium,7.788977284148577,1,0,18,220,1,1
1542,Dog,Labrador,161,Gray,Small,21.010748894278983,1,1,75,296,0,0
666,Cat,Persian,11,Brown,Medium,4.339517834683241,0,1,18,300,0,0
2016,Dog,Labrador,166,Gray,Small,16.78131132032725,0,1,28,87,0,0
1552,Bird,Parakeet,122,Orange,Large,21.564688553092186,1,0,85,89,0,0
537,Rabbit,Rabbit,77,Orange,Large,10.379842797905706,0,0,43,247,0,0
1787,Dog,Poodle,163,White,Large,5.904621016681163,1,0,9,430,1,0
1166,Bird,Parakeet,79,Gray,Small,11.02405113071392,1,0,31,30,0,0
818,Dog,Golden Retriever,13,Black,Large,16.69490920736765,1,0,81,293,0,1
1568,Cat,Siamese,3,White,Small,1.2731758232009145,1,1,70,418,1,0
1783,Rabbit,Rabbit,175,White,Medium,24.938291448092272,1,0,87,487,0,1
2469,Dog,Golden Retriever,157,Black,Small,22.117317358465986,0,0,50,241,0,1
1984,Cat,Persian,161,Brown,Large,25.428768680731334,1,0,15,137,1,0
981,Rabbit,Rabbit,173,Brown,Small,20.04764170156502,0,0,21,333,1,0
1747,Rabbit,Rabbit,64,White,Small,13.189665973523434,1,0,65,124,0,0
2184,Cat,Siamese,50,Gray,Large,19.56562218757393,1,0,38,70,0,0
1127,Cat,Siamese,98,Orange,Small,8.246740586496104,1,0,21,165,0,0
1697,Rabbit,Rabbit,69,White,Medium,9.343834600210853,0,0,51,443,1,0
1724,Dog,Golden Retriever,24,Gray,Small,14.66962804782746,1,0,81,135,0,0
2332,Cat,Siamese,46,Orange,Large,28.08458881889883,1,0,72,46,0,0
2072,Rabbit,Rabbit,90,Gray,Small,14.228603492474852,0,0,51,424,1,0
1667,Dog,Poodle,174,Gray,Medium,5.998127210203935,1,0,52,68,1,1
1356,Bird,Parakeet,110,Black,Medium,28.13672858421196,0,0,29,220,0,0
872,Dog,Labrador,95,Orange,Large,13.223824292798424,0,0,7,487,0,0
1847,Cat,Siamese,35,Black,Small,12.669413379618474,1,0,15,165,0,0
1906,Cat,Persian,74,Gray,Large,15.925416197503,1,0,14,74,1,0
2081,Rabbit,Rabbit,27,Brown,Large,13.119317030066874,0,0,48,425,0,0
625,Dog,Labrador,110,Gray,Medium,22.19930012504501,0,0,82,228,0,1
1962,Bird,Parakeet,100,White,Medium,5.306012307153248,1,0,74,37,0,1
1723,Dog,Labrador,92,Brown,Large,14.86198680657503,1,0,43,366,1,1
2314,Rabbit,Rabbit,71,Black,Medium,22.73597603954664,1,0,77,418,0,1
1657,Bird,Parakeet,69,Gray,Large,21.32932674575618,1,1,31,333,0,0
919,Cat,Persian,54,Brown,Small,6.036477471675855,0,1,63,492,1,0
2192,Bird,Parakeet,99,Gray,Small,24.545364333837234,1,1,81,166,0,0
1575,Bird,Parakeet,131,Orange,Medium,29.907423667686768,1,0,69,232,0,1
1238,Bird,Parakeet,16,Brown,Large,9.831172485390116,1,1,51,367,0,0
832,Cat,Siamese,59,Orange,Small,29.78614090513324,1,0,10,482,0,0
2368,Cat,Persian,61,Gray,Small,12.751238575679082,1,0,58,297,1,0
1420,Dog,Labrador,45,Brown,Small,3.178564394480768,1,0,41,2,0,1
1652,Dog,Poodle,31,Black,Large,5.595120765242127,1,1,29,296,0,0
910,Bird,Parakeet,66,White,Medium,6.588041746096071,0,1,47,446,0,0
2373,Rabbit,Rabbit,47,Orange,Large,20.19447325329605,1,1,41,10,1,0
1295,Dog,Labrador,139,Gray,Medium,6.14917967168346,0,0,60,30,0,1
2003,Bird,Parakeet,99,White,Medium,17.165449098665274,0,0,48,170,0,0
2454,Dog,Poodle,96,White,Large,23.300425661630253,1,0,60,165,1,1
1475,Bird,Parakeet,84,Brown,Small,17.51070432530953,1,0,61,369,0,0
2306,Cat,Siamese,149,Gray,Large,25.371609613190877,1,1,23,174,1,0
2479,Rabbit,Rabbit,13,Black,Large,17.33441947094482,1,1,65,497,0,0
1630,Cat,Siamese,165,Black,Large,22.92412301144824,1,0,49,49,0,0
1220,Rabbit,Rabbit,161,White,Small,22.818025373426725,1,0,84,56,1,0
1797,Dog,Labrador,72,Brown,Medium,27.824331498816008,1,0,89,364,0,1
1438,Cat,Siamese,20,White,Small,14.966085066361517,1,0,32,89,1,1
810,Rabbit,Rabbit,114,Brown,Large,20.268289811187657,1,0,37,275,0,0
2194,Dog,Poodle,64,Black,Medium,6.505727147858105,1,0,67,409,1,1
1742,Dog,Golden Retriever,145,Black,Small,27.537416667384168,1,0,57,134,1,0
1595,Rabbit,Rabbit,28,White,Small,14.198602699950314,1,0,1,342,0,0
937,Bird,Parakeet,24,Black,Large,27.643671839323293,1,0,6,471,0,0
1282,Bird,Parakeet,41,White,Small,25.75050104287404,1,0,59,148,0,0
1257,Bird,Parakeet,25,Black,Small,14.589452493523783,1,0,83,66,1,0
1211,Dog,Poodle,7,Gray,Large,2.2076766478594294,1,0,56,384,0,1
927,Rabbit,Rabbit,144,Black,Medium,25.16255813377817,1,0,87,59,0,1
1702,Bird,Parakeet,109,Gray,Medium,13.71673248427013,1,0,83,289,1,1
1203,Bird,Parakeet,47,Orange,Medium,9.866927697858866,1,1,67,431,0,0
2063,Rabbit,Rabbit,102,Gray,Small,23.892000442503733,0,0,53,82,1,0
868,Dog,Poodle,2,Orange,Large,7.887095228503795,0,1,66,252,0,0
955,Dog,Labrador,80,Brown,Small,23.472925696872693,1,1,27,282,0,0
2105,Dog,Poodle,59,Black,Large,25.134934094544807,1,0,23,326,0,0
865,Cat,Siamese,92,Gray,Large,10.14707534650182,1,0,38,468,0,0
2117,Cat,Persian,104,Gray,Large,19.28299535408171,0,0,72,242,1,0
1918,Dog,Poodle,152,Brown,Medium,20.832425493735883,1,0,9,210,0,1
1256,Dog,Poodle,97,Brown,Small,8.065518511021905,1,0,78,175,0,0
1227,Bird,Parakeet,107,White,Medium,7.02592347643786,1,0,76,113,1,1
621,Dog,Golden Retriever,164,Gray,Large,9.0652528590603,0,0,3,466,1,0
1954,Bird,Parakeet,121,Black,Large,26.05468983827581,1,0,86,375,0,0
669,Bird,Parakeet,56,Black,Large,6.820672444499974,1,0,1,406,0,0
1137,Dog,Poodle,66,Black,Medium,27.15537758071777,1,1,66,97,0,0
570,Rabbit,Rabbit,16,Black,Medium,27.183172679532355,1,0,15,354,0,1
2013,Bird,Parakeet,16,Orange,Large,21.266176442934952,0,1,6,237,0,0
1009,Cat,Siamese,50,Orange,Medium,7.370781867898963,1,0,83,87,0,1
1385,Cat,Siamese,53,White,Large,9.986103832846055,1,0,3,234,1,0
2200,Cat,Siamese,18,Brown,Medium,25.412935566592616,1,0,1,329,0,1
1398,Dog,Golden Retriever,16,Gray,Large,11.738498926798217,0,0,26,361,1,0
915,Cat,Persian,164,Brown,Small,17.8621644899301,1,0,86,92,0,0
1114,Rabbit,Rabbit,33,Gray,Medium,24.942499322303437,0,0,89,193,1,0
1152,Rabbit,Rabbit,99,Gray,Small,20.51195076818444,1,0,36,399,0,0
1210,Dog,Labrador,130,Brown,Medium,26.32601532447412,1,0,2,410,0,1
1254,Dog,Poodle,25,Brown,Large,5.464933921328612,1,0,54,379,0,0
1838,Dog,Labrador,143,Gray,Large,24.246965093478973,1,0,54,269,1,1
693,Bird,Parakeet,166,Gray,Large,20.719179592591917,1,1,72,498,1,0
2216,Dog,Labrador,43,White,Small,9.456055716673562,1,0,6,494,0,1
1402,Dog,Labrador,158,Black,Medium,7.783761802602161,1,0,36,272,1,1
1107,Rabbit,Rabbit,169,Orange,Large,10.893330448770808,0,0,43,373,0,0
1550,Dog,Poodle,113,White,Large,5.8361637973080684,0,1,66,275,1,0
761,Cat,Siamese,172,Brown,Medium,24.471716788671426,0,0,44,408,1,0
2502,Dog,Poodle,72,Orange,Small,27.039045038453317,1,0,66,26,1,1
1587,Dog,Golden Retriever,101,White,Large,4.929341048936498,1,0,37,498,0,0
2137,Cat,Siamese,83,Black,Small,22.31066509448843,1,0,52,303,0,0
914,Rabbit,Rabbit,137,Gray,Small,21.824950400724653,0,0,22,217,0,0
2100,Bird,Parakeet,51,Black,Large,19.29468012070824,1,0,79,195,1,0
807,Cat,Siamese,169,Black,Large,27.085870187792985,0,0,4,465,0,0
1969,Rabbit,Rabbit,112,White,Medium,7.267653952114104,0,0,18,76,0,0
1881,Cat,Siamese,159,Gray,Large,11.144297280835804,1,0,6,464,1,0
1852,Cat,Siamese,174,Gray,Large,1.156557723326645,1,0,8,329,1,0
